34,7,0
29,15,0
35,25,0
44,25,0
49,17,0
44,11,0
46,7,0
40,32,0
39,46,0
39,65,0
58,64,0
20,64,0
64,58,0
67,55,0
75,53,0
17,73,0
5,74,0
7,68,0
9,58,0
17,58,0
18,54,0
7,53,0
2,54,0
62,74,0
75,76,0
75,66,0
67,70,0
39,76,0
40,86,0
32,89,0
33,106,0
48,105,0
47,89,0
39,96,0
61,95,0
61,86,0
65,106,0
66,99,0
20,95,0
15,96,0
16,106,0
16,86,0
39,118,0
39,132,0
40,152,0
42,167,0
25,168,0
18,160,0
9,161,0
9,173,0
15,178,0
22,175,0
57,168,0
69,169,0
87,169,0
90,176,0
88,179,0
90,164,0
90,159,0
85,157,0
90,157,0
91,179,0
104,169,0
117,168,0
119,146,0
116,137,0
101,135,0
81,134,0
82,143,0
82,118,0
95,143,0
95,119,0
71,136,0
65,138,0
65,134,0
70,147,0
65,145,0
61,146,0
61,149,0
68,150,0
70,127,0
61,127,0
60,117,0
63,116,0
74,116,0
95,108,0
85,103,0
84,93,0
105,108,0
98,97,0
92,95,0
106,99,0
107,93,0
144,136,0
151,127,0
150,114,0
148,105,0
153,97,0
151,87,0
133,104,0
131,112,0
121,96,0
118,113,0
128,93,0
127,80,0
134,80,0
138,85,0
139,79,0
118,82,0
127,62,0
117,65,0
137,62,0
127,53,0
133,51,0
119,186,0
119,199,0
103,200,0
73,201,0
72,189,0
101,190,0
62,190,0
62,217,0
71,217,0
82,220,0
79,215,0
88,216,0
100,216,0
107,220,0
166,136,0
183,135,0
184,120,0
175,116,0
181,110,0
192,110,0
196,115,0
202,115,0
204,118,0
194,123,0
196,135,0
216,137,0
231,135,0
248,119,0
246,103,0
248,87,0
238,90,0
233,84,0
236,78,0
233,70,0
244,70,0
248,66,0
254,69,0
262,66,0
263,71,0
248,79,0
255,90,0
263,88,0
263,84,0
183,154,0
168,152,0
183,181,0
169,182,0
173,168,0
190,167,0
203,182,0
196,181,0
196,157,0
199,153,0
200,150,0
202,152,0
203,164,0
217,182,0
215,167,0
216,150,0
243,168,0
249,152,0
242,148,0
262,154,0
278,154,0
279,147,0
285,171,0
279,187,0
265,183,0
272,170,0
248,184,0
247,202,0
247,234,0
183,199,0
194,199,0
198,196,0
203,199,0
167,200,0
151,201,0
144,202,0
152,214,0
150,229,0
148,232,0
136,232,0
132,246,0
126,267,0
113,267,0
139,268,0
122,245,0
117,240,0
114,233,0
122,234,0
120,227,0
130,225,0
152,247,0
150,257,0
152,273,0
152,281,0
143,281,0
148,288,0
156,288,0
152,296,0
162,291,0
159,280,0
162,282,0
181,225,0
183,248,0
173,247,0
183,265,0
197,264,0
176,269,0
176,276,0
179,278,0
192,279,0
194,284,0
196,273,0
198,249,0
214,248,0
216,236,0
208,233,0
206,226,0
211,217,0
220,217,0
222,225,0
223,233,0
227,247,0
234,249,0
242,244,0
244,253,0
244,257,0
